,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Matale,8,LK,1546922181,68,7.47,80.62,300.411,3.21
1,Ushuaia,75,AR,1546920000,86,-54.81,-68.31,278.15,3.6
2,Barrow,0,AR,1546922183,41,-38.31,-60.23,292.361,6.56
3,Ierapetra,75,GR,1546921200,81,35.01,25.74,279.15,9.3
4,Colares,0,PT,1546920000,60,38.8,-9.45,279.15,1.5
5,Shimoda,75,JP,1546920000,58,34.7,138.93,285.15,6.7
6,Provideniya,0,RU,1546922189,100,64.42,-173.23,256.611,14.91
7,East London,40,ZA,1546920000,83,-33.02,27.91,295.15,1.5
8,Carnarvon,0,ZA,1546922192,26,-30.97,22.13,296.911,3.56
9,Nanakuli,1,US,1546919820,72,21.39,-158.15,298.15,3.1
10,Qaanaaq,0,GL,1546922195,100,77.48,-69.36,246.961,3.66
11,Hofn,0,IS,1546921975,100,64.25,-15.21,274.411,1.91
12,Grindavik,75,IS,1546920000,100,63.84,-22.43,275.15,3.6
13,Dunedin,48,NZ,1546922087,71,-45.87,170.5,290.336,1.96
14,Sioux Lookout,90,CA,1546920000,86,50.1,-91.92,272.15,4.1
15,Paamiut,88,GL,1546921912,91,61.99,-49.67,274.861,14.21
16,Nikolskoye,75,RU,1546920000,92,59.7,30.79,271.15,2.0
17,Barra do Garcas,0,BR,1546922207,91,-15.89,-52.26,294.911,0.06
18,Am Timan,8,TD,1546922209,48,11.04,20.28,291.261,2.11
19,Hamilton,90,CA,1546921260,81,43.26,-79.87,279.15,11.3
20,Vavoua,8,CI,1546922212,67,7.38,-6.48,291.261,1.46
21,Mozarlandia,0,BR,1546922214,87,-14.74,-50.57,293.636,1.21
22,Kapaa,20,US,1546919760,71,22.08,-159.32,298.15,3.6
23,Vagamo,80,NO,1546922217,80,61.88,9.1,267.136,2.31
24,Hermanus,12,ZA,1546922219,79,-34.42,19.24,290.386,1.56
25,Prachin Buri,12,TH,1546922220,61,14.05,101.37,304.861,0.71
26,Portel,0,PT,1546920000,80,38.31,-7.71,276.15,2.6
27,Pevek,0,RU,1546921941,73,69.7,170.27,246.161,2.11
28,Ponta do Sol,44,BR,1546922224,86,-20.63,-46.0,292.061,1.01
29,Rikitea,76,PF,1546922226,94,-23.12,-134.97,300.236,5.01
30,Ahipara,8,NZ,1546921982,66,-35.17,173.16,297.086,4.71
31,Albany,90,US,1546921020,38,42.65,-73.75,270.35,5.7
32,Sao Filipe,0,CV,1546922230,100,14.9,-24.5,295.586,5.06
33,Busselton,36,AU,1546922232,70,-33.64,115.35,298.961,5.11
34,Atuona,80,PF,1546922233,100,-9.8,-139.03,300.636,6.26
35,Terrace Bay,36,CA,1546922235,99,48.78,-87.1,275.586,7.61
36,Cardenas,24,MX,1546922236,87,27.62,-110.24,288.336,4.11
37,Hokitika,0,NZ,1546922238,93,-42.72,170.96,289.986,4.71
38,Bafq,48,IR,1546922240,77,31.6,55.4,279.086,1.61
39,Tura,0,IN,1546922241,72,25.52,90.21,293.911,1.51
40,Hithadhoo,68,MV,1546922242,100,-0.6,73.08,301.586,6.26
41,Port Alfred,88,ZA,1546922244,84,-33.59,26.89,295.586,0.51
42,Butaritari,8,KI,1546922245,100,3.07,172.79,301.661,3.91
43,Fort Nelson,40,CA,1546920000,82,58.81,-122.69,245.15,1.0
44,New Norfolk,75,AU,1546920000,60,-42.78,147.06,294.15,9.3
45,Jamestown,0,AU,1546922250,50,-33.21,138.6,298.986,5.16
46,Vaini,0,IN,1546920000,46,15.34,74.49,294.15,2.6
47,Kangaatsiaq,76,GL,1546922253,100,68.31,-53.46,265.561,6.56
48,Norman Wells,75,CA,1546920000,73,65.28,-126.83,238.15,1.0
49,Manado,40,ID,1546920000,74,1.49,124.85,302.15,3.1
50,Avera,1,US,1546920900,91,33.19,-82.53,288.15,2.1
51,Mataura,0,NZ,1546922259,56,-46.19,168.86,292.111,5.66
52,Cape Town,0,ZA,1546920000,77,-33.93,18.42,291.15,6.7
53,Tuktoyaktuk,75,CA,1546920000,75,69.44,-133.03,245.15,1.5
54,Port Lincoln,20,AU,1546922264,83,-34.72,135.86,293.486,5.86
55,Hervey Bay,90,AU,1546920000,48,-25.3,152.85,302.15,7.7
56,Bologoye,88,RU,1546922267,88,57.88,34.11,266.911,5.61
57,Bansang,56,GM,1546916400,77,13.44,-14.66,292.15,3.61
58,Kahului,75,US,1546919760,70,20.89,-156.47,297.05,4.1
59,Hilo,75,US,1546919580,73,19.71,-155.08,295.35,5.16
60,Kodiak,1,US,1546919700,88,39.95,-94.76,278.15,3.1
61,Nanchong,92,CN,1546922274,100,30.8,106.08,280.461,1.86
62,Baykit,68,RU,1546922276,77,61.68,96.39,258.461,4.11
63,Nouakchott,0,MR,1546920000,16,18.08,-15.98,287.15,3.6
64,Prado,68,BR,1546922279,96,-17.34,-39.22,299.261,5.86
65,Isangel,92,VU,1546922281,100,-19.55,169.27,298.261,8.26
66,Cadillac,90,US,1546920900,89,44.25,-85.4,277.75,7.7
67,Necochea,0,AR,1546922284,86,-38.55,-58.74,289.011,2.91
68,Ancud,20,CL,1546920000,87,-41.87,-73.83,279.15,2.1
69,Whitehorse,75,CA,1546920000,75,60.72,-135.06,247.15,1.11
70,Yellowknife,75,CA,1546920000,74,62.45,-114.38,243.15,2.1
71,Faya,0,SA,1546916400,49,18.39,42.45,282.15,1.21
72,Poum,0,MK,1546922291,62,41.28,20.71,249.886,0.86
73,Bonthe,80,SL,1546922293,87,7.53,-12.5,298.511,2.01
74,Cherskiy,0,RU,1546922294,24,68.75,161.3,246.461,2.96
75,Victoria,75,BN,1546920000,70,5.28,115.24,304.15,3.6
76,Bredasdorp,8,ZA,1546920000,72,-34.53,20.04,291.15,1.5
77,Ekibastuz,20,KZ,1546922299,57,51.72,75.32,254.386,1.36
78,Sitka,0,US,1546922301,47,37.17,-99.65,277.211,3.16
79,Timra,76,SE,1546921200,92,62.49,17.33,272.15,3.6
80,Ribeira Grande,75,PT,1546920000,88,38.52,-28.7,290.15,8.7
81,Ilulissat,76,GL,1546919400,72,69.22,-51.1,263.15,3.1
82,Buraydah,0,SA,1546916400,87,26.33,43.97,283.15,1.5
83,Padang,75,ID,1546920000,74,-0.92,100.36,302.15,1.0
84,Dakar,24,SN,1546920000,22,14.69,-17.45,294.15,3.6
85,Kavaratti,0,IN,1546922312,100,10.57,72.64,300.861,3.56
86,Saint-Philippe,90,CA,1546921020,66,45.36,-73.48,264.35,1.0
87,Saldanha,0,PT,1546922315,79,41.42,-6.55,264.361,1.36
88,Punta Arenas,75,CL,1546920000,81,-53.16,-70.91,281.15,3.6
89,Gushikawa,90,JP,1546920000,77,26.35,127.87,293.25,3.1
90,Taoudenni,64,ML,1546922321,38,22.68,-3.98,281.311,4.61
91,Bluff,88,AU,1546922323,49,-23.58,149.07,302.661,6.61
92,Saskylakh,32,RU,1546922325,0,71.97,114.09,236.361,4.76
93,Rathcoole,75,IE,1546921800,86,53.28,-6.47,279.15,3.1
94,Lorengau,24,PG,1546922328,94,-2.02,147.27,302.761,6.51
95,Talnakh,56,RU,1546922329,64,69.49,88.39,256.861,2.41
96,Roebourne,0,AU,1546922331,14,-20.77,117.15,315.636,5.21
97,Launceston,8,AU,1546920000,43,-41.43,147.14,296.15,6.2
98,Burns Lake,8,CA,1546922334,75,54.23,-125.76,259.711,1.01
99,Nantucket,1,US,1546919760,77,41.28,-70.1,269.85,2.76
100,Pyay,92,MM,1546922337,100,18.82,95.22,294.411,2.86
101,Pacific Grove,1,US,1546921200,85,36.62,-121.92,286.15,1.5
102,Mabaruma,92,GY,1546922340,91,8.2,-59.78,298.086,3.01
103,Vardo,90,US,1546921200,66,39.62,-77.74,276.15,6.7
104,Mitsamiouli,20,KM,1546920000,79,-11.38,43.28,302.15,1.0
105,Longyearbyen,75,NO,1546919400,67,78.22,15.63,267.15,15.9
106,Abay,0,KZ,1546920000,72,49.63,72.87,262.15,5.0
107,Perth,0,GB,1546921200,80,56.4,-3.43,281.15,3.1
108,Upernavik,80,GL,1546922349,100,72.79,-56.15,259.261,7.66
109,Alekseyevsk,80,RU,1546922351,60,57.84,108.35,263.986,4.71
110,Xinmin,0,CN,1546920000,29,42.0,122.83,267.15,6.0
111,Makakilo City,90,US,1546919820,58,21.35,-158.09,298.15,2.6
112,Avarua,75,CK,1546920000,61,-21.21,-159.78,299.15,3.1
113,Magaria,20,NE,1546922357,61,13.0,8.91,283.736,4.46
114,Esperance,20,TT,1546920000,83,10.24,-61.45,297.15,2.6
115,Suntar,64,RU,1546922360,67,62.16,117.65,256.461,1.76
116,Tasiilaq,92,GL,1546919400,73,65.61,-37.64,270.15,10.8
117,Upata,8,VE,1546922362,88,8.02,-62.41,294.986,2.76
118,Cabo San Lucas,20,MX,1546919160,88,22.89,-109.91,294.15,2.1
119,Garoua,24,CM,1546922365,65,9.31,13.39,286.911,1.16
120,Bitung,40,ID,1546920000,74,1.44,125.19,302.15,3.1
121,Arraial do Cabo,76,BR,1546922368,88,-22.97,-42.02,297.961,10.36
122,Kununurra,40,AU,1546920000,42,-15.77,128.74,311.15,3.6
123,Riverton,1,US,1546919580,46,43.02,-108.38,265.95,3.6
124,Bandundu,76,CD,1546922373,94,-3.32,17.38,296.661,2.06
125,Vardablur,90,AM,1546920000,92,40.67,44.25,268.15,0.5
126,Geraldton,90,CA,1546920000,92,49.72,-86.95,269.15,2.51
127,Port Blair,32,IN,1546922378,100,11.67,92.75,301.336,2.66
128,Nuuk,92,GL,1546922192,100,64.17,-51.74,265.486,2.41
129,Sobolevo,64,RU,1546922381,77,54.43,31.9,259.161,5.36
130,Thompson,90,CA,1546920000,85,55.74,-97.86,261.15,4.1
131,Srednekolymsk,32,RU,1546922384,42,67.46,153.71,240.411,1.11
132,Westerland,75,NL,1546921740,75,52.89,4.93,281.15,11.8
133,Tiksi,20,RU,1546922387,0,71.64,128.87,239.311,1.21
134,Tomatlan,12,MX,1546922389,87,19.93,-105.25,289.761,0.81
135,Broome,44,GB,1546921200,81,52.47,1.45,280.15,7.2
136,Puerto Ayora,20,EC,1546922392,100,-0.74,-90.35,296.736,2.86
137,Bambous Virieux,75,MU,1546920000,74,-20.34,57.76,302.15,7.2
138,Zunyi,92,CN,1546922395,98,27.73,106.92,274.911,2.81
139,Aanekoski,90,FI,1546921200,100,62.6,25.73,271.15,1.5
140,Takapau,0,NZ,1546922398,45,-40.02,176.35,297.111,1.06
141,Luanda,75,AO,1546920000,88,-8.83,13.24,299.15,1.5
142,Ballina,80,IE,1546922401,98,54.11,-9.15,280.311,2.86
143,Semey,0,KZ,1546920000,57,50.41,80.25,268.15,8.0
144,Balkhash,0,KZ,1546920000,77,46.84,74.98,259.15,8.0
145,Castro,20,CL,1546920000,87,-42.48,-73.76,279.15,2.1
146,Brekstad,75,NO,1546921200,86,63.69,9.67,276.15,6.2
147,Kenai,20,US,1546919760,78,60.55,-151.26,254.25,3.21
148,Taywarah,24,AF,1546922410,94,33.35,64.42,274.311,1.16
149,Batemans Bay,64,AU,1546922412,74,-35.71,150.18,298.761,2.61
150,Jumla,0,NP,1546922413,64,29.28,82.18,271.886,0.71
151,Yar-Sale,20,RU,1546922415,87,66.83,70.83,247.311,3.96
152,Katherine,0,AU,1546920000,50,-14.47,132.26,309.15,2.6
153,Olinda,90,EC,1546920000,94,-2.03,-79.75,298.15,1.5
154,Freiberg,90,DE,1546921200,86,50.92,13.34,277.15,6.2
155,Port Keats,0,AU,1546922421,77,-14.25,129.55,307.011,4.66
156,Talara,88,PE,1546922422,90,-4.58,-81.27,295.111,1.46
157,Kruisfontein,100,ZA,1546922424,87,-34.0,24.73,292.561,2.86
158,Fort Madison,1,US,1546920900,70,40.63,-91.32,282.15,1.5
159,Langenburg,88,CA,1546922427,83,50.84,-101.7,261.886,10.21
